BOOK_SERIAL_NUMBER;BOOK_NAME_TRANSLATED_ENGLISH
BOOK_SERIALNUM_1016;Mahatma Gautam Buddha
BOOK_SERIALNUM_1017;Mahatma Gautam Buddha
BOOK_SERIALNUM_1018;Mahanama Madan Mohan Malaviya
BOOK_SERIALNUM_1019;the great man jesus
BOOK_SERIALNUM_1020;Unforgettable life events of great men-1
BOOK_SERIALNUM_1021;Unforgettable life events of great men-1/2
BOOK_SERIALNUM_1022;Unforgettable life events of great men-1/3
BOOK_SERIALNUM_1023;Unforgettable life events of great men-1/4
BOOK_SERIALNUM_1024;Unforgettable life events of great men-1/5
BOOK_SERIALNUM_1025;Unforgettable life events of great men-2/1
BOOK_SERIALNUM_1026;Unforgettable life events of great men-2/2
BOOK_SERIALNUM_1027;Unforgettable life events of great men-2/3
BOOK_SERIALNUM_1028;Unforgettable life events of great men-2/4
BOOK_SERIALNUM_1029;Unforgettable life events of great men-2/5
BOOK_SERIALNUM_1030;Sadhana of Mahapragya and achievement of Brahmavarchas
BOOK_SERIALNUM_1031;Mahaprabhu Chaitanya
BOOK_SERIALNUM_1032;Mahayogi Arvind
BOOK_SERIALNUM_1033;Maharani Ahilyabai Holkar
BOOK_SERIALNUM_1034;Maharani Ahilyabai Holkar
BOOK_SERIALNUM_1035;Mahavir Swami
BOOK_SERIALNUM_1036;tour of super power
BOOK_SERIALNUM_1037;tour of super power
BOOK_SERIALNUM_1038;direction of women's awakening
BOOK_SERIALNUM_1039;female awakening
BOOK_SERIALNUM_1040;Women's Awareness Campaign
BOOK_SERIALNUM_1041;Women's Awareness Campaign
BOOK_SERIALNUM_1042;Women's Awareness Campaign
BOOK_SERIALNUM_1043;Gayatri Sadhana for women
BOOK_SERIALNUM_1044;Human Life: A Precious Gift
BOOK_SERIALNUM_1045;dignity of human life
BOOK_SERIALNUM_1046;Human Progress and Environment
BOOK_SERIALNUM_1047;Srijan Shilpa who gave the mantra of universal brotherhood to humanity
BOOK_SERIALNUM_1048;human potential limitless unpredictable
BOOK_SERIALNUM_1049;human potential limitless unpredictable
BOOK_SERIALNUM_1050;human brain amazing computer
BOOK_SERIALNUM_1051;human brain amazing computer
BOOK_SERIALNUM_1052;wonders of human electricity
BOOK_SERIALNUM_1053;composure
BOOK_SERIALNUM_1054;composure
BOOK_SERIALNUM_1055;make friends with understanding
BOOK_SERIALNUM_1056;why how and with whom to befriend
BOOK_SERIALNUM_1057;the art of friendship
BOOK_SERIALNUM_1058;the art of friendship
BOOK_SERIALNUM_1059;Exemplary character and thinking of Muslim religious leaders
BOOK_SERIALNUM_1060;Do not get lost in the labyrinths of foolish beliefs
BOOK_SERIALNUM_1061;What is the need of the dead body?
BOOK_SERIALNUM_1062;what am i
BOOK_SERIALNUM_1063;what am i
BOOK_SERIALNUM_1064;Yajurveda Part-2
BOOK_SERIALNUM_1065;Yajurveda Part-3
BOOK_SERIALNUM_1066;Yajurveda Part-4
BOOK_SERIALNUM_1067;Yagya and Indian culture
BOOK_SERIALNUM_1068;Knowledge and Science of Yagya
BOOK_SERIALNUM_1069;Knowledge and Science of Yagya
BOOK_SERIALNUM_1070;science of sacrifice
BOOK_SERIALNUM_1071;yagya father gayatri mother
BOOK_SERIALNUM_1072;Yagya: A Holistic Healing Process
BOOK_SERIALNUM_1073;sacrificial fire our priest
BOOK_SERIALNUM_1074;sacrificial fire our priest
BOOK_SERIALNUM_1075;great utility of sacrificial fire
BOOK_SERIALNUM_1076;Attainment of Dharma, Kama, Moksha through Yagyopaveet
BOOK_SERIALNUM_1077;Attainment of Dharma, Kama, Moksha through Yagyopaveet
BOOK_SERIALNUM_1078;Yatra Naryastu Pujyante Ramante Tatra Devta
BOOK_SERIALNUM_1079;yum rule
BOOK_SERIALNUM_1080;Do not increase this unnecessary load now
BOOK_SERIALNUM_1081;Do not increase this unnecessary load now
BOOK_SERIALNUM_1082;These evils are disappearing and will disappear
BOOK_SERIALNUM_1083;Age demands talent sophistication part-2
BOOK_SERIALNUM_1084;do not ignore the call of the era
BOOK_SERIALNUM_1085;age demands talent sophistication
BOOK_SERIALNUM_1086;Age Demands Talent Sophistication - Part 1
BOOK_SERIALNUM_1087;Age Demands Talent Sophistication-Part 2
BOOK_SERIALNUM_1088;Era's Demand Talent Sophistication Part-1
BOOK_SERIALNUM_1089;Do not ignore the appeal of the god of the era
BOOK_SERIALNUM_1090;Do not ignore the appeal of the god of the era
BOOK_SERIALNUM_1091;era singing method
BOOK_SERIALNUM_1092;Yug Geeta Part-1
BOOK_SERIALNUM_1093;Yug Geeta Part-2
BOOK_SERIALNUM_1094;Yug Geeta Part-3
BOOK_SERIALNUM_1095;Yug Geeta Part-4
BOOK_SERIALNUM_1096;Yug Dharma Environmental Protection
BOOK_SERIALNUM_1097;100 point program for era building
BOOK_SERIALNUM_1098;Is Era Creation Possible?
BOOK_SERIALNUM_1099;Employment of youth power in era building
BOOK_SERIALNUM_1100;Employment of youth power in era building
BOOK_SERIALNUM_1101;Direction of Era Creation
BOOK_SERIALNUM_1102;Step towards era leadership like this
BOOK_SERIALNUM_1103;era change and enlightenment
BOOK_SERIALNUM_1104;When and how will the era change?
BOOK_SERIALNUM_1105;Background and outline of the era change
BOOK_SERIALNUM_1106;Why era change? Why ?
BOOK_SERIALNUM_1107;Role of knowledge yagya in era change
BOOK_SERIALNUM_1108;Role of knowledge yagya in era change
BOOK_SERIALNUM_1109;Deepayagya capable of era change
BOOK_SERIALNUM_1110;era change
BOOK_SERIALNUM_1111;Farewell to Yug Purush
BOOK_SERIALNUM_1112;Fearless thinker who turned the tide
BOOK_SERIALNUM_1113;era sacrifice method
BOOK_SERIALNUM_1114;era sacrifice method
BOOK_SERIALNUM_1115;era sacrifice method
BOOK_SERIALNUM_1116;Yuga Yagya Method - Deep Yagya
BOOK_SERIALNUM_1117;Yug Sandhi Purascharan Purpose and Efforts
BOOK_SERIALNUM_1118;Expansion Process of Yug Sandhi Maha Purascharan
BOOK_SERIALNUM_1119;era ritual
BOOK_SERIALNUM_1120;era ritual
BOOK_SERIALNUM_1121;Era creation begins with family creation
BOOK_SERIALNUM_1122;Yugrishi and his plan
BOOK_SERIALNUM_1123;Yug Rishi's Sublimation Practice
BOOK_SERIALNUM_1124;Know the pain and enthusiasm of Yugrishi and do something accordingly
BOOK_SERIALNUM_1125;Message from the sage
BOOK_SERIALNUM_1126;The formula for paying homage to Yugrishi is
BOOK_SERIALNUM_1127;Yug Geeta Part-3
BOOK_SERIALNUM_1128;Yug Geeta Part-4
BOOK_SERIALNUM_1129;Yug Geeta - Part-2
BOOK_SERIALNUM_1130;Innovative incarnation of Yugshakti Gayatri
BOOK_SERIALNUM_1131;Innovative incarnation of Yugshakti Gayatri
BOOK_SERIALNUM_1132;Yugasandhi Mahapurascharan and crisis prevention
BOOK_SERIALNUM_1133;Yuva Kranti Path
BOOK_SERIALNUM_1134;cheating in the name of yoga
BOOK_SERIALNUM_1135;yoga philosophy
BOOK_SERIALNUM_1136;Background of Yoga Sadhana and Tapascharya
BOOK_SERIALNUM_1137;Background of Yoga Sadhana and Tapascharya
BOOK_SERIALNUM_1138;Rabindra Nath Tagore
BOOK_SERIALNUM_1139;our role in politics
BOOK_SERIALNUM_1140;Raja Ram Mohan Roy
BOOK_SERIALNUM_1141;Raja Ram Mohan Roy
BOOK_SERIALNUM_1142;Rani Durgavati
BOOK_SERIALNUM_1143;Rani Durgavati
BOOK_SERIALNUM_1144;Rani Lakshmi Bai
BOOK_SERIALNUM_1145;Ram's character is our inspiration
BOOK_SERIALNUM_1146;Not only the name of Ram, but also the work
BOOK_SERIALNUM_1147;Not only the name of Ram, but also the work
BOOK_SERIALNUM_1148;Ramakrishna Paramhansa
BOOK_SERIALNUM_1149;Ramakrishna Paramhansa
BOOK_SERIALNUM_1150;Progressive Inspiration of Ramcharit Manas
BOOK_SERIALNUM_1151;family ideal in ramayana
BOOK_SERIALNUM_1152;How to make the nation capable and strong?
BOOK_SERIALNUM_1153;How to make the nation strong and powerful?
BOOK_SERIALNUM_1154;at the feet of the nation's god
BOOK_SERIALNUM_1155;Some essential parameters of national progress
BOOK_SERIALNUM_1156;Lala Lajpat Rai
BOOK_SERIALNUM_1157;leo tolstoy
BOOK_SERIALNUM_1158;sense of direction for public servants
BOOK_SERIALNUM_1159;guidance for civil servants
BOOK_SERIALNUM_1160;Sophisticated guidance of public mind
BOOK_SERIALNUM_1161;Sophisticated guidance of public mind
BOOK_SERIALNUM_1162;Temple should be the center of the trends of public service
BOOK_SERIALNUM_1163;Temple should be the center of the trends of public service
BOOK_SERIALNUM_1164;guidance for civil servants
BOOK_SERIALNUM_1165;Vayam Rashtre Jagriyam Purohita:
BOOK_SERIALNUM_1166;Current Challenges and Youth
BOOK_SERIALNUM_1167;Current Challenges and Youth
BOOK_SERIALNUM_1168;Vermi Composting-Manual
BOOK_SERIALNUM_1169;true accomplishment of vashikaran
BOOK_SERIALNUM_1170;true accomplishment of vashikaran
BOOK_SERIALNUM_1171;what you have to do today
BOOK_SERIALNUM_1172;eloquence and its planning
BOOK_SERIALNUM_1173;spiritual experiment of climate change
BOOK_SERIALNUM_1174;Progressive inspiration from Valmiki Ramayana
BOOK_SERIALNUM_1175;Disordered thinking - the root cause of grief
BOOK_SERIALNUM_1176;disturbed state of mind and hallucinations
BOOK_SERIALNUM_1177;thought revolution
BOOK_SERIALNUM_1178;lamp of thought revolution
BOOK_SERIALNUM_1179;visionary and creator of thought revolution
BOOK_SERIALNUM_1180;thoughts revolution ages ages
BOOK_SERIALNUM_1181;thought-revolution is the only cure
BOOK_SERIALNUM_1182;thought-revolution is the only cure
BOOK_SERIALNUM_1183;Need and nature of thought revolution
BOOK_SERIALNUM_1184;Need and nature of thought revolution
BOOK_SERIALNUM_1185;The immense and amazing power of ideas
BOOK_SERIALNUM_1186;creative power of ideas
BOOK_SERIALNUM_1187;creative power of ideas
BOOK_SERIALNUM_1188;Fragrant flowers of Vigyan Upvan
BOOK_SERIALNUM_1189;Integrated form of science and spirituality
BOOK_SERIALNUM_1190;Integrated form of science and spirituality
BOOK_SERIALNUM_1191;science and spirituality
BOOK_SERIALNUM_1192;science and spirituality complement each other
BOOK_SERIALNUM_1193;stop science from being the devil
BOOK_SERIALNUM_1194;stop science from being the devil
BOOK_SERIALNUM_1195;calamity remover gayatri
BOOK_SERIALNUM_1196;calamities friends of vices
BOOK_SERIALNUM_1197;Peeping through the window of Virat Brahma
BOOK_SERIALNUM_1198;existence of god beyond dispute
BOOK_SERIALNUM_1199;existence of god beyond dispute
BOOK_SERIALNUM_1200;marriage and married life
BOOK_SERIALNUM_1201;Marriage is a sacrifice, do not add wickedness and corruption to it.
BOOK_SERIALNUM_1202;Marriage is Yajna, don't make it like a riot
BOOK_SERIALNUM_1203;Do not add distortions to marriage rituals
BOOK_SERIALNUM_1204;Marriage - don't drown the institution in the web of distortions
BOOK_SERIALNUM_1205;supernatural bliss of married life
BOOK_SERIALNUM_1206;ideals and principles of marriage
BOOK_SERIALNUM_1207;The atmosphere of marriages should be like rituals
BOOK_SERIALNUM_1208;break the cycle of wastage in marriages
BOOK_SERIALNUM_1209;Mania: Problems and Solutions
BOOK_SERIALNUM_1210;test of conscience
BOOK_SERIALNUM_1211;test of conscience
BOOK_SERIALNUM_1212;Cultivation and accomplishment of conscience
BOOK_SERIALNUM_1213;If the conscience wakes up - follow the religion of the era
BOOK_SERIALNUM_1214;understand the specific time change your customs
BOOK_SERIALNUM_1215;specific practice at specific times
BOOK_SERIALNUM_1216;Great women of the world-1
BOOK_SERIALNUM_1217;Great women of the world-1
BOOK_SERIALNUM_1218;Great women of the world-2
BOOK_SERIALNUM_1219;Great women of the world-3
BOOK_SERIALNUM_1220;Vishwavara Dev Culture
BOOK_SERIALNUM_1221;Vishwavara Dev Culture
BOOK_SERIALNUM_1222;Veer Durgadas
BOOK_SERIALNUM_1223;Veer Shivji
BOOK_SERIALNUM_1224;Veer Shivaji
BOOK_SERIALNUM_1225;Veer Savarkar
BOOK_SERIALNUM_1226;Planting a tree is a holy virtue
BOOK_SERIALNUM_1227;Vedanta-Philosophy Part-1
BOOK_SERIALNUM_1228;Vedanta-Philosophy Part-2
BOOK_SERIALNUM_1229;golden sayings of vedas
BOOK_SERIALNUM_1230;well use
BOOK_SERIALNUM_1231;dress modestly
BOOK_SERIALNUM_1232;Revolution lamp of scientific spirituality
BOOK_SERIALNUM_1233;Revolution lamp of scientific spirituality
BOOK_SERIALNUM_1234;choose greatness not glory
BOOK_SERIALNUM_1235;Cultivation of personality refinement is a wonderful and unique opportunity
BOOK_SERIALNUM_1236;personality building youth camp
BOOK_SERIALNUM_1237;personality building youth camp
BOOK_SERIALNUM_1238;personality building youth camp
BOOK_SERIALNUM_1239;Personality Building Youth Camp - 1
BOOK_SERIALNUM_1240;Only faith is capable of refining personality
BOOK_SERIALNUM_1241;Only faith is capable of refining personality
BOOK_SERIALNUM_1242;collectivism not individualism
BOOK_SERIALNUM_1243;dignity of order wisdom
BOOK_SERIALNUM_1244;dignity of order wisdom
BOOK_SERIALNUM_1245;use of power
BOOK_SERIALNUM_1246;use of power
BOOK_SERIALNUM_1247;connect yourself to the reservoir of power
BOOK_SERIALNUM_1248;connect yourself to the reservoir of power
BOOK_SERIALNUM_1249;on the road to power
BOOK_SERIALNUM_1250;the infinite power of the word Brahman
BOOK_SERIALNUM_1251;Meaningful worship of the word Brahman
BOOK_SERIALNUM_1252;word brahma nad brahma
BOOK_SERIALNUM_1253;word brahma nad brahma
BOOK_SERIALNUM_1254;Amazing abilities and characteristics of the body
BOOK_SERIALNUM_1255;anatomy and physiology
BOOK_SERIALNUM_1256;teaching dignity guide
BOOK_SERIALNUM_1257;The need for a holistic change in the teaching process
BOOK_SERIALNUM_1258;how is the education system
BOOK_SERIALNUM_1259;How is the education system?
BOOK_SERIALNUM_1260;not only education but initiation
BOOK_SERIALNUM_1261;Not only education but also knowledge
BOOK_SERIALNUM_1262;Not only education but also knowledge
BOOK_SERIALNUM_1263;Shikha and Sutra - symbols of Indian culture
BOOK_SERIALNUM_1264;Mysterious Interpretation of Shikha and Sutra
BOOK_SERIALNUM_1265;be polite be called a gentleman
BOOK_SERIALNUM_1266;be polite be called a gentleman
BOOK_SERIALNUM_1267;courtesy and cooperation
BOOK_SERIALNUM_1268;courtesy and cooperation
BOOK_SERIALNUM_1269;Shishya Sanjeevani
BOOK_SERIALNUM_1270;labor is the bridge to happiness
BOOK_SERIALNUM_1271;Message to Pragya's family members on Shravani festival
BOOK_SERIALNUM_1272;Shri Ramcharitmrit
BOOK_SERIALNUM_1273;Mr. Visvesvaraya
BOOK_SERIALNUM_1274;Shri Ram Story
BOOK_SERIALNUM_1275;Form and secret of hexagons
BOOK_SERIALNUM_1276;tremendous process of determination
BOOK_SERIALNUM_1277;glory and dignity of determination
BOOK_SERIALNUM_1278;Brief Havan Method
BOOK_SERIALNUM_1279;Brief Havan Method
BOOK_SERIALNUM_1280;organization's policy
BOOK_SERIALNUM_1281;Sangeet Saurabh
BOOK_SERIALNUM_1282;Expansion of Sanjivani Vidya
BOOK_SERIALNUM_1283;Saint Kabir
BOOK_SERIALNUM_1284;Saint Tukaram
BOOK_SERIALNUM_1285;Saint Tukaram
BOOK_SERIALNUM_1286;Saint Vinoba Bhave
BOOK_SERIALNUM_1287;Saint Vinoba Bhave
BOOK_SERIALNUM_1288;saint socrates
BOOK_SERIALNUM_1289;level up not the number of offspring
BOOK_SERIALNUM_1290;duty towards children
BOOK_SERIALNUM_1291;duty towards children
BOOK_SERIALNUM_1292;Increase wealth but don't lose decency
BOOK_SERIALNUM_1293;possible for ages
BOOK_SERIALNUM_1294;possible for ages
BOOK_SERIALNUM_1295;Joint responsibility of joint family
BOOK_SERIALNUM_1296;speed progress of world cycle
BOOK_SERIALNUM_1297;speed progress of world cycle
BOOK_SERIALNUM_1298;speed progress of world cycle
BOOK_SERIALNUM_1299;ritual tradition
BOOK_SERIALNUM_1300;the splendor of culture will return
BOOK_SERIALNUM_1301;the splendor of culture will return
BOOK_SERIALNUM_1302;disobedience to culture will cost dearly
BOOK_SERIALNUM_1303;disobedience to culture will cost dearly
BOOK_SERIALNUM_1304;Sita's return to culture
BOOK_SERIALNUM_1305;bring back sita of culture
BOOK_SERIALNUM_1306;bring back sita of culture
BOOK_SERIALNUM_1307;Sanskruti Sanjivani and Shrimad Bhagwat Gita
BOOK_SERIALNUM_1308;Sanskruti Sanjivani and Shrimad Bhagwat Gita
BOOK_SERIALNUM_1309;Culture Sanjivani and Shrimad Bhagwat Gita Part-2
BOOK_SERIALNUM_1310;Culture Sanjivani and Shrimad Bhagwat Geeta Part-4
BOOK_SERIALNUM_1311;Culture Address
BOOK_SERIALNUM_1312;memories that will not be forgotten
BOOK_SERIALNUM_1313;Illustrated Gayatri-Shiksha
BOOK_SERIALNUM_1314;Illustrated Gayatri-Shiksha
BOOK_SERIALNUM_1315;Illustrated Gayatri-Shiksha
BOOK_SERIALNUM_1316;Illustrated Gayatri-Sadhana
BOOK_SERIALNUM_1317;what is true spirituality
BOOK_SERIALNUM_1318;what is true spirituality
BOOK_SERIALNUM_1319;practice true faith
BOOK_SERIALNUM_1320;practice true faith
BOOK_SERIALNUM_1321;practice true faith
BOOK_SERIALNUM_1322;return of satyug
BOOK_SERIALNUM_1323;return of satyug
BOOK_SERIALNUM_1324;return of satyug
BOOK_SERIALNUM_1325;don't bind the truth to prejudices
BOOK_SERIALNUM_1326;Satyanarayan Vrat Katha
BOOK_SERIALNUM_1327;Family organization depends on harmony and cooperation
BOOK_SERIALNUM_1328;Family institution depends on harmony and cooperation
BOOK_SERIALNUM_1329;creative power of thoughts
BOOK_SERIALNUM_1330;dreams are false and true
BOOK_SERIALNUM_1331;dreams are false and true
BOOK_SERIALNUM_1332;direction of successful life
BOOK_SERIALNUM_1333;Some golden formulas of successful life
BOOK_SERIALNUM_1334;fundamentals of successful married life
BOOK_SERIALNUM_1335;Basic principles of successful married life
BOOK_SERIALNUM_1336;three keys to success
BOOK_SERIALNUM_1337;seven formula tools of success
BOOK_SERIALNUM_1338;accessible worship for all
BOOK_SERIALNUM_1339;Promotion of civilization, gentleness and good manners
BOOK_SERIALNUM_1340;Preparation of youth for overall revolution
BOOK_SERIALNUM_1341;Overall progress depends on co-operation
BOOK_SERIALNUM_1342;Holistic Health Promotion How
BOOK_SERIALNUM_1343;How to be a holistic health promotion?
BOOK_SERIALNUM_1344;How to be a holistic health promotion?
BOOK_SERIALNUM_1345;misunderstanding of the wise
BOOK_SERIALNUM_1346;Understand the meaning of Deism and take lessons from him
BOOK_SERIALNUM_1347;good use of time
BOOK_SERIALNUM_1348;good use of time
BOOK_SERIALNUM_1349;Time donation is the religion of the era
BOOK_SERIALNUM_1350;Time donation is the religion of the era
BOOK_SERIALNUM_1351;Samarth Guru Ramdas
BOOK_SERIALNUM_1352;India's arms donation to the whole world
BOOK_SERIALNUM_1353;India's arms donation to the whole world
BOOK_SERIALNUM_1354;Solution to all problems - Spirituality
BOOK_SERIALNUM_1355;problems of today solutions of tomorrow
BOOK_SERIALNUM_1356;problems of today solutions of tomorrow
BOOK_SERIALNUM_1357;Many problems - one solution
BOOK_SERIALNUM_1358;innovation of society
BOOK_SERIALNUM_1359;some eternal principles of social construction
BOOK_SERIALNUM_1360;Sardar Vallabhai Patel
BOOK_SERIALNUM_1361;Sardar Vallabhai Patel
BOOK_SERIALNUM_1362;Simple and useful Gayatri Havan method
BOOK_SERIALNUM_1363;The focal point of a simple successful life: excellent thinking
BOOK_SERIALNUM_1364;Sarojini Naidu
BOOK_SERIALNUM_1365;Sarojini Naidu
BOOK_SERIALNUM_1366;almighty gayatri
BOOK_SERIALNUM_1367;all round progress
BOOK_SERIALNUM_1368;all round progress
BOOK_SERIALNUM_1369;all-round cooperation
BOOK_SERIALNUM_1370;All useful Gayatri Sadhana
BOOK_SERIALNUM_1371;all-purpose tools
BOOK_SERIALNUM_1372;mighty power ascension
BOOK_SERIALNUM_1373;cooperation and tolerance
BOOK_SERIALNUM_1374;cooperation and tolerance
BOOK_SERIALNUM_1375;Right and Strong Pilgrimage
BOOK_SERIALNUM_1376;Right and Strong Pilgrimage
BOOK_SERIALNUM_1377;Compassion is essential for spiritual progress
BOOK_SERIALNUM_1378;Compassion is essential for spiritual progress
BOOK_SERIALNUM_1379;Sankhya and Yoga philosophy
BOOK_SERIALNUM_1380;Samkhya and Yoga philosophy
BOOK_SERIALNUM_1381;cultural revival
BOOK_SERIALNUM_1382;corporeal and formless meditation
BOOK_SERIALNUM_1383;corporeal and formless meditation
BOOK_SERIALNUM_1384;Importance of environment and faith in spiritual practice
BOOK_SERIALNUM_1385;Importance of environment and faith in spiritual practice
BOOK_SERIALNUM_1386;success through meditation
BOOK_SERIALNUM_1387;Basic principles of Siddhi through Sadhana
BOOK_SERIALNUM_1388;Sadhankhand Part-1
BOOK_SERIALNUM_1389;Sadhan Khand Part-2
BOOK_SERIALNUM_1390;Sadhan Khand Part-2
BOOK_SERIALNUM_1391;The great tradition and responsibility of a monk
BOOK_SERIALNUM_1392;contemporary public education system
BOOK_SERIALNUM_1393;Samveda
BOOK_SERIALNUM_1394;collective sacrifice plan
BOOK_SERIALNUM_1395;meaningful and happy old age
BOOK_SERIALNUM_1396;Form of meaningful and holistic education
BOOK_SERIALNUM_1397;Form of meaningful and all-round education
BOOK_SERIALNUM_1398;caution and safety
BOOK_SERIALNUM_1399;caution and safety
BOOK_SERIALNUM_1400;Relationship between Savitri and Savita
BOOK_SERIALNUM_1401;Savitri's power source - Savita Devta
BOOK_SERIALNUM_1402;Savitri Kundalini and Tantra
BOOK_SERIALNUM_1403;Savitri Science and Tantra Sadhana
BOOK_SERIALNUM_1404;Siddhidatri Speech Practice
BOOK_SERIALNUM_1405;Tested Uses of Successful Practices
BOOK_SERIALNUM_1406;Basis of happiness and progress - Ideal family
BOOK_SERIALNUM_1407;If you want happiness then you can get it like this
BOOK_SERIALNUM_1408;Happiness and peace Dayini Gayatri
BOOK_SERIALNUM_1409;cultivation of peace
BOOK_SERIALNUM_1410;companions of the deserted
BOOK_SERIALNUM_1411;companions of the deserted
BOOK_SERIALNUM_1412;companions of the deserted
BOOK_SERIALNUM_1413;Superconscious and Jivanmukti
BOOK_SERIALNUM_1414;reproduction of the next generation
BOOK_SERIALNUM_1415;Subhash Chandra Bose
BOOK_SERIALNUM_1416;Subhash Chandra Bose
BOOK_SERIALNUM_1417;From where and how should the creation of good progeny begin?
BOOK_SERIALNUM_1418;cultured family background
BOOK_SERIALNUM_1419;sun therapy
BOOK_SERIALNUM_1420;sun therapy
BOOK_SERIALNUM_1421;science of sun worship
BOOK_SERIALNUM_1422;Srijan Shilpi Code of Conduct
BOOK_SERIALNUM_1423;Srijan Shilpi Code of Conduct
BOOK_SERIALNUM_1424;Supreme Prasad Prakhar Prajna of the Creator
BOOK_SERIALNUM_1425;Seth Jamnalal Bajaj
BOOK_SERIALNUM_1426;service religion and its nature
BOOK_SERIALNUM_1427;Siddha Sadhikas of service religion
BOOK_SERIALNUM_1428;practice of service
BOOK_SERIALNUM_1429;practice of service
BOOK_SERIALNUM_1430;Seva Sadhana and its principles
BOOK_SERIALNUM_1431;scout guide
BOOK_SERIALNUM_1432;gayatri rights of women
BOOK_SERIALNUM_1433;Women's Gayatri Sadhana
BOOK_SERIALNUM_1434;Women's Gayatri Sadhana
BOOK_SERIALNUM_1435;Women's Gayatri Sadhana
BOOK_SERIALNUM_1436;sensuous old age
BOOK_SERIALNUM_1437;The existence of the creator is proved by every particle of the universe
BOOK_SERIALNUM_1438;Supreme Prasad of the Creator - Radiant Wisdom
BOOK_SERIALNUM_1439;Supreme Prasad of the Creator - Radiant Wisdom
BOOK_SERIALNUM_1440;Supreme Prasad of the Creator - Radiant Wisdom
BOOK_SERIALNUM_1441;cleanliness pride of humanity
BOOK_SERIALNUM_1442;elevate yourself be personable
BOOK_SERIALNUM_1443;elevate yourself - be personable
BOOK_SERIALNUM_1444;divine knowledge through swara yoga
BOOK_SERIALNUM_1445;Vowel - letter - sensation
BOOK_SERIALNUM_1446;automated process of heaven hell
BOOK_SERIALNUM_1447;automated process of heaven hell
BOOK_SERIALNUM_1448;simple ways to stay healthy
BOOK_SERIALNUM_1449;Swadhyay and Satsang
BOOK_SERIALNUM_1450;Swadhyay and Satsang
BOOK_SERIALNUM_1451;Establishment of Swadhyay Mandals Plantation of Kalpavriksha
BOOK_SERIALNUM_1452;Do not neglect in self-study
BOOK_SERIALNUM_1453;Swadhyay satsang and meditation
BOOK_SERIALNUM_1454;Swami Dayanand Saraswati
BOOK_SERIALNUM_1455;Swami Dayanand Saraswati
BOOK_SERIALNUM_1456;Swami Vivekananda
BOOK_SERIALNUM_1457;Swami Vivekananda
BOOK_SERIALNUM_1458;Swami Shraddhanand
BOOK_SERIALNUM_1459;Health care is possible only by following nature
BOOK_SERIALNUM_1460;happy life
BOOK_SERIALNUM_1461;we teach respect
BOOK_SERIALNUM_1462;we teach respect
BOOK_SERIALNUM_1463;we are not weak but strong
BOOK_SERIALNUM_1464;we become strong not weak
BOOK_SERIALNUM_1465;we become strong not weak
BOOK_SERIALNUM_1466;If we change then the world changes
BOOK_SERIALNUM_1467;If we change then the world changes
BOOK_SERIALNUM_1468;we all depend on each other
BOOK_SERIALNUM_1469;we all depend on each other
BOOK_SERIALNUM_1470;Why are we deprived of happiness and peace?
BOOK_SERIALNUM_1471;Why are we deprived of happiness and peace?
BOOK_SERIALNUM_1472;our family then and now
BOOK_SERIALNUM_1473;Our Health Crisis and Its Solution
BOOK_SERIALNUM_1474;our legacy and legacy
BOOK_SERIALNUM_1475;Our conscience is the real Gayatri
BOOK_SERIALNUM_1476;Our conscience is the real Gayatri
BOOK_SERIALNUM_1477;our era building plan
BOOK_SERIALNUM_1478;our era building plan
BOOK_SERIALNUM_1479;our era building plan
BOOK_SERIALNUM_1480;our era building plan
BOOK_SERIALNUM_1481;our legacy and legacy
BOOK_SERIALNUM_1482;our flagship institute
BOOK_SERIALNUM_1483;our flagship institute
BOOK_SERIALNUM_1484;our great heir
BOOK_SERIALNUM_1485;our great heir
BOOK_SERIALNUM_1486;our seven movements
BOOK_SERIALNUM_1487;Why do we see dreams?
BOOK_SERIALNUM_1488;Dev Mandir and Gyan Mandir should be made in every house
BOOK_SERIALNUM_1489;Dev Mandir and Gyan Mandir should be made in every house
BOOK_SERIALNUM_1490;Every morning a new birth, every night a new death
BOOK_SERIALNUM_1491;Major steps taken for Harijan Utkarsh
BOOK_SERIALNUM_1492;palmistry
BOOK_SERIALNUM_1493;don't give up
